Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
JE Timms, Northamptonshire, Middlesex, Town Ground  Kettering, 3 July 1937, 110, 0, 0, 0, 0
Mushtaq Mohammad, Northamptonshire, Middlesex, Town Ground  Kettering, 23 July 1969, 110, 0, 0, 0, 0
E Oldroyd, Yorkshire, Northamptonshire, Town Ground  Kettering, 22 July 1925, 109*, 0, 16, 0, 195
MK Foster, Worcestershire, Northamptonshire, Town Ground  Kettering, 3 July 1926, 109, 0, 0, 0, 0
H Gimblett, Somerset, Northamptonshire, Town Ground  Kettering, 3 July 1948, 107, 0, 9, 3, 0
JF Pretlove, Kent, Northamptonshire, Town Ground  Kettering, 4 July 1959, 107, 0, 0, 0, 0
H Gimblett, Somerset, Northamptonshire, Town Ground  Kettering, 23 May 1936, 106, 0, 0, 0, 0
MJ Smedley, Nottinghamshire, Northamptonshire, Town Ground  Kettering, 3 June 1967, 106, 0, 0, 0, 0
H Gimblett, Somerset, Northamptonshire, Town Ground  Kettering, 2 July 1938, 105, 0, 0, 0, 0
PA Perrin, Essex, Northamptonshire, Town Ground  Kettering, 4 July 1925, 102, 0, 0, 0, 180
HHIH Gibbons, Worcestershire, Northamptonshire, Town Ground  Kettering, 11 June 1938, 101*, 0, 12, 0, 195
W Walker, Nottinghamshire, Northamptonshire, Town Ground  Kettering, 10 August 1932, 101, 0, 0, 0, 0
JA Cutmore, Essex, Northamptonshire, Town Ground  Kettering, 1 July 1933, 101, 0, 0, 0, 0
JE Timms, Northamptonshire, Sussex, Town Ground  Kettering, 1 July 1939, 101, 0, 0, 0, 0
TW Graveney, Gloucestershire, Northamptonshire, Town Ground  Kettering, 2 July 1955, 101, 0, 0, 0, 0
RA Gale, Middlesex, Northamptonshire, Town Ground  Kettering, 27 July 1960, 101, 0, 0, 0, 0
CP Mead, Hampshire, Northamptonshire, Town Ground  Kettering, 16 July 1927, 100*, 0, 0, 0, 0
HW Parks, Sussex, Northamptonshire, Town Ground  Kettering, 21 July 1928, 100*, 0, 0, 0, 0
