Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
GH Hirst, Marylebone Cricket Club; England; Yorkshire; Under 30; North; The Rest; Lancashire and Yorkshire; Players; Europeans; CI Thornton's XI; Lord Londesborough's XI; Marylebone Cricket Club Australian Touring Team; PF Warner's XI; XI of Yorkshire; AE Stoddart's XI; Kent and Yorkshire, 9, 12, 1169, 61, 372, 35, 10.62, 0, 0, 4, 1, 6/7, 12/19
H Howell, England; Marylebone Cricket Club; Players; North; The Rest; Marylebone Cricket Club Australian Touring Team; Warwickshire; AER Gilligan's XI, 8, 12, 1268, 44, 597, 35, 17.05, 0, 0, 1, 1, 8/31, 11/91
H Larwood, Marylebone Cricket Club Australian Touring Team; HDG Leveson-Gower's XI; LH Tennyson's XI; Europeans; England XI; England; Marylebone Cricket Club; Nottinghamshire; North; The Rest; Players, 9, 16, 1337, 58, 505, 35, 14.42, 0, 0, 1, 0, 6/38, 8/84
WS Lees, London County; England XI; Players; Players of the South; Surrey; South; The Rest; England; Marylebone Cricket Club, 5, 9, 1594, 78, 568, 35, 16.22, 0, 0, 3, 0, 7/65, 9/115
TA Munton, Derbyshire; Marylebone Cricket Club; England; England A; Test and County Cricket Board Under-25s XI; Warwickshire, 5, 9, 1158, 55, 403, 35, 11.51, 0, 0, 5, 1, 5/13, 10/132
GC Perkins, Northamptonshire; Minor Counties, 18, 25, 2763, 116, 1181, 35, 33.74, 0, 0, 2, 0, 6/54, 9/144
HJ Rhodes, International XI; EW Swanton's XI; Combined Services; Commonwealth XI; TN Pearce's XI; The Rest; Players; Marylebone Cricket Club; Derbyshire; England; North, 10, 19, 1726, 73, 711, 35, 20.31, 0, 0, 2, 0, 5/42, 9/86
OP Stone, England; Northamptonshire; Warwickshire, 15, 26, 2410, 73, 1369, 35, 39.11, 0, 0, 2, 0, 5/44, 6/90
LJ Coldwell, Marylebone Cricket Club; England XI; England; Worcestershire, 7, 13, 1528, 72, 588, 34, 17.29, 0, 0, 1, 0, 6/63, 9/103
EF Field, Players; North; England XI; The Rest; London County; Lord Londesborough's XI; Warwickshire, 8, 14, 1645, 82, 698, 34, 20.52, 0, 0, 1, 0, 5/59, 8/108
RJ Gleeson, England Lions; Lancashire; Marylebone Cricket Club; Northamptonshire, 11, 15, 1658, 53, 957, 34, 28.14, 0, 0, 1, 0, 5/46, 7/142
