Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
GJ Thompson, England; Marylebone Cricket Club; The Rest; Players; South; North; Under 30; Auckland; England XI; Lord Hawke's XI; Lord Londesborough's XI; CI Thornton's XI; Marylebone Cricket Club South African Touring Team; Northamptonshire; Lord Brackley's XI, 108, 169, 21260, 861, 9606, 518, 18.54, 0, 0, 48, 14, 9/64, 15/167
EW Clark, Northamptonshire; LH Tennyson's XI; England; Marylebone Cricket Club; Players; The Rest; North, 120, 188, 21477, 832, 8888, 434, 20.47, 0, 0, 23, 8, 7/36, 11/87
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 86, 149, 19270, 853, 8084, 420, 19.24, 0, 0, 34, 5, 9/43, 15/31
W Wells, Northamptonshire, 127, 186, 17699, 583, 8832, 412, 21.43, 0, 0, 30, 8, 8/65, 13/101
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 110, 168, 18369, 634, 9326, 406, 22.97, 0, 0, 30, 5, 8/71, 11/81
AE Thomas, Northamptonshire; Wales; Players, 115, 189, 25711, 1358, 8584, 350, 24.52, 0, 0, 12, 2, 8/96, 11/212
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 131, 209, 21477, 1053, 8102, 293, 27.65, 0, 0, 8, 1, 6/14, 11/58
SG Smith, Auckland; Trinidad; England XI; The Rest; Gentlemen; Gentlemen of England; Marylebone Cricket Club; SH Cochrane's XI; West Indians; Northamptonshire; West Indies; HDG Leveson-Gower's XI; New Zealand, 62, 109, 11337, 531, 4444, 281, 15.81, 0, 0, 23, 7, 7/20, 14/123
W East, Marylebone Cricket Club; Northamptonshire, 78, 125, 12431, 609, 4912, 266, 18.46, 0, 0, 16, 2, 7/11, 12/97
JP Taylor, Northamptonshire; England A; Derbyshire; England XI; England, 80, 145, 14126, 482, 7315, 261, 28.02, 0, 0, 9, 3, 7/87, 11/104
Sarfraz Nawaz, Punjab Governor's XI; Pakistan; Punjab University; Lahore; Northamptonshire; TN Pearce's XI; Pakistanis; Railways; North-West Frontier Province Governor's XI; BCCP Patron's XI; United Bank Limited; Lahore City Blues; Lahore City; Lahore City A; Lahore City Whites; Rest of the World XI; West Pakistan Governor's XI; Lahore Greens; International XI; Lahore; BCCP XI; Punjab A, 72, 128, 13135, 579, 5841, 258, 22.63, 0, 0, 12, 0, 6/8, 9/140
JF Brown, Northamptonshire; Nottinghamshire; England A, 70, 121, 17851, 722, 7989, 255, 31.32, 0, 0, 16, 3, 7/78, 11/131
JV Murdin, Players; Northamptonshire, 79, 118, 11256, 344, 5823, 220, 26.46, 0, 0, 14, 2, 7/39, 11/114
Mushtaq Mohammad, Marylebone Cricket Club; Karachi Blues; Karachi C; Karachi Whites; Karachi A; Karachi; President's XI; Peshawar; Pakistan International Airlines; BCCP XI; International Cavaliers; Pakistan Eaglets; Fazal Mahmood's XI; International XI; Pakistan Under-25s; Pakistan International Airlines A; DH Robins' XI; Rest of the World XI; Pakistan Banks; DB Close's XI; ZA Bhutto's XI; Pakistan; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI; Pakistanis; The Rest; Northamptonshire, 115, 155, 11782, 523, 5642, 215, 26.24, 0, 0, 3, 0, 6/48, 9/79
DS Steele, DH Robins' XI; Leicestershire; Northamptonshire; TN Pearce's XI; Derbyshire; England; Marylebone Cricket Club, 186, 181, 13137, 821, 4901, 214, 22.9, 0, 0, 8, 1, 8/29, 11/75
DJ Capel, Northamptonshire; Eastern Province; Test and County Cricket Board XI; Eastern Province B; England A; England; Marylebone Cricket Club; England XI, 124, 168, 12147, 398, 6412, 206, 31.12, 0, 0, 3, 0, 7/46, 9/79
P Willey, Leicestershire; Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England XI; England; DH Robins' XI; England Under-25s; South African Breweries English XI, 150, 196, 17065, 781, 6892, 206, 33.45, 0, 0, 7, 0, 5/14, 8/75
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 98, 154, 15783, 503, 7039, 205, 34.33, 0, 0, 6, 0, 5/26, 8/123
ADG Matthews, South; England; Northamptonshire; HDG Leveson-Gower's XI; Glamorgan; Royal Air Force, 81, 124, 13945, 567, 5466, 202, 27.05, 0, 0, 8, 0, 6/103, 9/158
ME Scott, Combined Services; Northamptonshire, 75, 124, 12478, 740, 5129, 202, 25.39, 0, 0, 6, 2, 6/39, 10/94
JDF Larter, TN Pearce's XI; Marylebone Cricket Club Australian Touring Team; Northamptonshire; England; England XI; Marylebone Cricket Club; Players; International XI, 55, 99, 9490, 427, 3880, 201, 19.3, 0, 0, 6, 1, 8/28, 12/56
BS Bedi, Northern Punjab; Indian XI; Delhi; Rest of India; India Prime Minister's XI; TN Pearce's XI; Indian Universities; North Zone; India; Northamptonshire; Indians; International XI; DH Robins' XI; World XI; State Bank of India, 53, 90, 11354, 631, 4432, 199, 22.27, 0, 0, 12, 1, 6/50, 10/61
RG Williams, DH Robins' XI; English Counties XI; Northamptonshire; Marylebone Cricket Club, 128, 152, 12686, 569, 5786, 196, 29.52, 0, 0, 6, 0, 6/65, 9/125
JS Manning, LEG Ames' XI; Northamptonshire; Commonwealth XI; AER Gilligan's XI; South Australia; Marylebone Cricket Club; North, 45, 79, 10303, 599, 3978, 194, 20.5, 0, 0, 14, 2, 7/63, 11/80
RW Clarke, Northamptonshire; Under 32; South; North; Marylebone Cricket Club, 74, 127, 13467, 452, 6355, 182, 34.91, 0, 0, 7, 1, 7/88, 13/190
MHJ Allen, TN Pearce's XI; Northamptonshire; Derbyshire; Players; Marylebone Cricket Club; North, 59, 102, 10401, 690, 3837, 181, 21.19, 0, 0, 10, 3, 8/48, 13/98
CN Woolley, Northamptonshire; North; Players; Gloucestershire, 162, 153, 12982, 502, 5543, 178, 31.14, 0, 0, 7, 0, 6/31, 8/79
AE Nutter, Royal Air Force; Minor Counties; Northamptonshire; North; West; Lancashire; England XI; Marylebone Cricket Club, 53, 89, 10809, 459, 4150, 175, 23.71, 0, 0, 10, 2, 7/52, 12/86
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 93, 140, 13383, 722, 5145, 172, 29.91, 0, 0, 7, 1, 6/34, 10/114
BJ Griffiths, Northamptonshire, 80, 135, 12048, 482, 5481, 169, 32.43, 0, 0, 2, 0, 8/50, 9/91
FH Tyson, Commonwealth XI; TN Pearce's XI; Northamptonshire; Marylebone Cricket Club; Players; England XI; North; England; The Rest; EW Swanton's XI, 66, 115, 9973, 446, 3927, 168, 23.37, 0, 0, 5, 0, 7/44, 8/86
GP Swann, England Lions; England A; England XI; Marylebone Cricket Club; Nottinghamshire; England; Northamptonshire, 51, 78, 9402, 325, 4748, 161, 29.49, 0, 0, 8, 2, 7/33, 11/126
JCJ Dye, Kent; Marylebone Cricket Club; Northamptonshire; Eastern Province, 57, 106, 8205, 292, 3997, 160, 24.98, 0, 0, 4, 1, 7/64, 11/110
NGB Cook, England; England XI; Marylebone Cricket Club; English Counties XI; DH Robins' XI; England B; Leicestershire; Northamptonshire, 77, 122, 12613, 743, 4760, 156, 30.51, 0, 0, 4, 0, 6/72, 8/122
PJ Watts, Marylebone Cricket Club; Northamptonshire, 154, 145, 9656, 434, 3833, 147, 26.07, 0, 0, 3, 0, 6/28, 7/47
CEL Ambrose, Leeward Islands; West Indies; Northamptonshire; West Indians, 40, 68, 7406, 346, 2943, 146, 20.15, 0, 0, 9, 2, 7/48, 11/70
KM Curran, Gloucestershire; Zimbabwe; Zimbabweans; Boland; Natal; Northamptonshire, 67, 102, 7568, 299, 4011, 145, 27.66, 0, 0, 3, 0, 7/69, 8/109
NA Mallender, Northamptonshire; Marylebone Cricket Club; Somerset; England; Otago; DB Close's XI, 66, 113, 9260, 350, 4611, 145, 31.8, 0, 0, 2, 1, 7/41, 10/96
BW Sanderson, Yorkshire; Northamptonshire, 37, 63, 6906, 317, 2996, 143, 20.95, 0, 0, 8, 1, 8/73, 10/99
H Sully, Somerset; Northamptonshire, 46, 75, 7843, 372, 3469, 141, 24.6, 0, 0, 6, 1, 6/36, 12/95
MS Panesar, Loughborough University Centre of Cricketing Excellence; ECB National Academy; Lions; England Lions; Essex; Northamptonshire; British Universities; England; England XI; Sussex; Marylebone Cricket Club, 34, 59, 8196, 299, 3901, 138, 28.26, 0, 0, 8, 2, 6/65, 10/128
FR Brown, North; Surrey; South; The Rest; Gentlemen; England; Gentlemen of England; Marylebone Cricket Club; Cambridge University; HDG Leveson-Gower's XI; Northamptonshire; Marylebone Cricket Club Australian Touring Team; Free Foresters; TN Pearce's XI, 37, 63, 7546, 345, 2946, 132, 22.31, 0, 0, 3, 1, 6/86, 10/125
RMH Cottam, Northamptonshire; TN Pearce's XI; Marylebone Cricket Club; Hampshire; England; International XI; Marylebone Cricket Club Touring Team; England Under-25s; Marylebone Cricket Club President's XI, 36, 64, 6309, 280, 2660, 130, 20.46, 0, 0, 9, 1, 6/45, 11/80
PD Watts, Northamptonshire; Nottinghamshire; Marylebone Cricket Club, 66, 88, 7391, 321, 3790, 128, 29.6, 0, 0, 6, 0, 6/70, 9/92
AP Freeman, Kent; Players; South; England; Marylebone Cricket Club; The Rest; England XI; Marylebone Cricket Club Australian Touring Team; LH Tennyson's XI, 14, 26, 3792, 183, 1478, 122, 12.11, 0, 0, 17, 7, 8/22, 13/67
WW Davis, Combined Leeward and Windward Islands; Windward Islands; Young West Indies; World XI; West Indies; Northamptonshire; West Indians; Glamorgan; Tasmania; Wellington, 28, 49, 5640, 163, 2945, 121, 24.33, 0, 0, 7, 3, 7/52, 10/115
AL Penberthy, Northamptonshire, 89, 117, 8024, 271, 4400, 113, 38.93, 0, 0, 3, 0, 5/54, 6/56
AJ Hall, Transvaal; South Africa; Northamptonshire; Worcestershire; South Africans; Dolphins; Lions; Mashonaland Eagles; Kent; South Africa A; Easterns; Transvaal B; South Africa Academy; Gauteng, 50, 83, 6806, 254, 3435, 105, 32.71, 0, 0, 1, 0, 5/29, 6/71
A Hodgson, Northamptonshire, 46, 80, 5878, 225, 2780, 100, 27.8, 0, 0, 0, 0, 4/15, 7/53
WE Astill, North; The Rest; England XI; Marylebone Cricket Club; England; Players; Leicestershire; CI Thornton's XI; Sir J Cahn's XI; Lord Tennyson's XI; Marylebone Cricket Club South African Touring Team; SB Joel's XI; FSG Calthorpe's XI; Army and Navy, 25, 45, 5460, 266, 1956, 98, 19.95, 0, 0, 6, 0, 7/47, 9/96
RK Kleinveldt, Cape Cobras; Western Province Boland; South Africa A; South Africans; South Africa; Western Province; Northamptonshire; The Rest; Hampshire, 23, 41, 3841, 113, 2181, 98, 22.25, 0, 0, 7, 1, 9/65, 13/98
A Walker, Northamptonshire; Marylebone Cricket Club; Durham, 39, 63, 5711, 183, 2912, 98, 29.71, 0, 0, 1, 0, 6/50, 8/109
TM Lamb, Northamptonshire; Oxford University; Oxford and Cambridge Universities; Middlesex, 49, 77, 6916, 305, 3036, 96, 31.62, 0, 0, 3, 0, 6/71, 6/71
DJ Willey, Northamptonshire; Yorkshire, 30, 45, 4360, 137, 2344, 88, 26.63, 0, 0, 5, 1, 5/29, 10/75
DE Malcolm, Leicestershire; Northamptonshire; England XI; Derbyshire; England; England A, 26, 45, 4613, 136, 2717, 86, 31.59, 0, 0, 1, 0, 6/54, 9/141
JD Middlebrook, Yorkshire; Marylebone Cricket Club; Northamptonshire; Essex, 45, 61, 6206, 230, 3176, 86, 36.93, 0, 0, 4, 0, 6/78, 7/123
Azharullah, Pakistan Television; Multan; Baluchistan; Quetta; Water and Power Development Authority; Punjab; Northamptonshire, 28, 48, 4795, 150, 2610, 84, 31.07, 0, 0, 2, 1, 7/76, 10/158
PA Wright, Northamptonshire; Cambridge University; Oxford and Cambridge Universities; Gentlemen, 25, 45, 4454, 157, 2002, 83, 24.12, 0, 0, 6, 0, 6/65, 8/52
SP Crook, Lancashire; Middlesex; Northamptonshire, 42, 67, 4919, 106, 3270, 82, 39.87, 0, 0, 1, 0, 5/71, 7/96
RG Garlick, Lancashire; Northamptonshire, 31, 52, 5823, 275, 2153, 79, 27.25, 0, 0, 2, 0, 5/42, 9/59
W Rhodes, England; Marylebone Cricket Club; Lancashire and Yorkshire; The Rest; Under 30; North; Players; Yorkshire; HDG Leveson-Gower's XI; Marylebone Cricket Club Australian Touring Team; Europeans; Lord Hawke's XI; CI Thornton's XI; Lord Londesborough's XI; Marylebone Cricket Club South African Touring Team; CB Fry's XI; Capped; Hindus and Muslims; Kent and Yorkshire; Patiala, 16, 26, 2701, 152, 920, 75, 12.26, 0, 0, 5, 2, 8/92, 14/139
G Geary, Marylebone Cricket Club South African Touring Team; Royal Air Force; Uncapped; SB Joel's XI; Lord Cowdray's XI; Leicestershire; Lord Tennyson's XI; Marylebone Cricket Club Australian Touring Team; CI Thornton's XI; England XI; The Rest; North; England; Marylebone Cricket Club; Players, 16, 29, 4246, 234, 1235, 74, 16.68, 0, 0, 4, 1, 7/30, 11/97
JG Thomas, England; Marylebone Cricket Club; England XI; Border; Northamptonshire; Eastern Province; Glamorgan, 21, 36, 3518, 91, 2182, 74, 29.48, 0, 0, 5, 0, 7/75, 9/132
C Blythe, Players; Kent; South; The Rest; Marylebone Cricket Club; England; AC MacLaren's XI; Marylebone Cricket Club Australian Touring Team; J Bamford's XI; Kent and Yorkshire; Marylebone Cricket Club South African Touring Team; JR Mason's XI, 8, 16, 1976, 93, 694, 73, 9.5, 0, 0, 7, 2, 10/30, 17/48
MK Kettle, Northamptonshire, 34, 57, 4164, 147, 1813, 71, 25.53, 0, 0, 2, 0, 6/67, 7/88
TB Mitchell, Derbyshire; North; England; Marylebone Cricket Club; Players; The Rest; Marylebone Cricket Club Australian Touring Team, 10, 20, 2223, 76, 979, 71, 13.78, 0, 0, 4, 3, 8/62, 13/98
CB Clarke, West Indies; Northamptonshire; Essex; West Indians; Combined XI; Barbados; Marylebone Cricket Club, 21, 32, 3605, 88, 2080, 70, 29.71, 0, 0, 3, 0, 7/120, 9/221
DS Lucas, Worcestershire; Northamptonshire; Yorkshire; Nottinghamshire, 29, 47, 4322, 137, 2513, 70, 35.9, 0, 0, 2, 0, 7/45, 8/95
NL Buck, England Lions; Leicestershire; Northamptonshire; Lancashire, 21, 36, 3240, 82, 2081, 69, 30.15, 0, 0, 2, 0, 5/54, 8/107
JA Brooks, England Lions; Yorkshire; Somerset; Northamptonshire, 22, 36, 3707, 143, 2027, 68, 29.8, 0, 0, 2, 0, 5/80, 6/69
D Breakwell, Somerset; Northamptonshire; TN Pearce's XI; England Under-25s, 30, 48, 4140, 237, 1678, 65, 25.81, 0, 0, 4, 0, 6/58, 6/58
LT Driffield, Northamptonshire; Cambridge University, 19, 29, 2740, 109, 1377, 65, 21.18, 0, 0, 3, 0, 6/39, 7/58
N Gifford, Players; Marylebone Cricket Club; England XI; England; Worcestershire; Warwickshire; International XI; International Wanderers; World XI; England B; Marylebone Cricket Club Touring Team; DB Close's XI, 16, 29, 4271, 248, 1577, 65, 24.26, 0, 0, 4, 0, 7/37, 7/52
RI Keogh, Northamptonshire, 49, 52, 4153, 115, 2357, 64, 36.82, 0, 0, 1, 1, 9/52, 13/125
A Kumble, Karnataka; Surrey; South Zone; Leicestershire; India; Northamptonshire; Rest of India; Indians, 8, 16, 2725, 148, 1030, 64, 16.09, 0, 0, 6, 1, 7/131, 13/192
A Morton, Derbyshire; Marylebone Cricket Club, 15, 25, 2886, 122, 1287, 64, 20.1, 0, 0, 6, 1, 7/38, 12/103
AL Cox, Northamptonshire, 83, 95, 5767, 192, 2706, 63, 42.95, 0, 0, 1, 0, 5/24, 6/57
R Illingworth, Yorkshire; The Rest; Marylebone Cricket Club; Players; England XI; England; North; Leicestershire; Combined Services; TN Pearce's XI; International Cavaliers, 16, 24, 2462, 175, 771, 63, 12.23, 0, 0, 5, 0, 7/40, 9/32
GG Macaulay, Marylebone Cricket Club Australian Touring Team; Marylebone Cricket Club South African Touring Team; CI Thornton's XI; Yorkshire; The Rest; Players; Marylebone Cricket Club; England, 11, 20, 2189, 141, 612, 63, 9.71, 0, 0, 8, 2, 7/66, 11/31
S Starkie, Northamptonshire, 32, 54, 5182, 236, 2066, 63, 32.79, 0, 0, 2, 1, 6/98, 10/123
DH Wigley, Loughborough University Centre of Cricketing Excellence; British Universities; Gloucestershire; Yorkshire; Northamptonshire; Worcestershire, 21, 34, 3210, 100, 2196, 63, 34.85, 0, 0, 3, 0, 6/72, 9/152
J Louw, Dolphins; Cape Cobras; Eagles; Boland; South Africa A; Northamptonshire; Eastern Province; Griqualand West; Middlesex, 19, 35, 3036, 110, 1700, 62, 27.41, 0, 0, 3, 0, 6/51, 9/154
MK Davies, Essex; Northamptonshire; England A; British Universities, 16, 24, 3699, 210, 1331, 61, 21.81, 0, 0, 4, 0, 6/49, 9/84
WE Hollies, Marylebone Cricket Club West Indian Touring Team; Warwickshire; HDG Leveson-Gower's XI; England; Marylebone Cricket Club; Players; The Rest; South; North, 11, 18, 3046, 137, 1085, 61, 17.78, 0, 0, 8, 3, 7/119, 12/132
DM Cousins, Essex; Northamptonshire, 18, 31, 3719, 141, 1926, 59, 32.64, 0, 0, 1, 0, 7/120, 9/199
AJ Durose, Northamptonshire, 30, 48, 4058, 140, 1815, 59, 30.76, 0, 0, 0, 0, 3/28, 6/68
A Lightfoot, Players; TN Pearce's XI; AER Gilligan's XI; Combined Services; Northamptonshire, 120, 96, 5014, 200, 2141, 59, 36.28, 0, 0, 1, 0, 6/31, 6/34
JE Buswell, Northamptonshire, 20, 33, 3664, 78, 2076, 58, 35.79, 0, 0, 1, 1, 7/61, 10/118
WE Merritt, New Zealand; New Zealanders; Northamptonshire; Canterbury, 15, 23, 2792, 30, 1694, 57, 29.71, 0, 0, 4, 1, 7/83, 11/145
MA Robinson, Northamptonshire; Sussex; Canterbury; Yorkshire, 30, 49, 4484, 145, 2170, 57, 38.07, 0, 0, 0, 0, 3/24, 5/85
E Smith, Marylebone Cricket Club; North; Derbyshire, 13, 24, 2866, 215, 969, 57, 17, 0, 0, 4, 0, 5/39, 8/116
SJ Staples, Marylebone Cricket Club South African Touring Team; Marylebone Cricket Club Australian Touring Team; Nottinghamshire; Players; The Rest; England; Marylebone Cricket Club, 11, 21, 2337, 95, 1054, 57, 18.49, 0, 0, 5, 1, 7/36, 12/188
FI Walden, Northamptonshire, 118, 75, 2960, 59, 1967, 56, 35.12, 0, 0, 0, 0, 4/43, 4/43
DVP Wright, The Rest; Kent; Players; England XI; Marylebone Cricket Club; England; South; England Past and Present; Duke of Norfolk's XI, 10, 18, 2220, 102, 950, 56, 16.96, 0, 0, 6, 1, 6/32, 10/157
LM Daggett, Durham University Centre of Cricketing Excellence; British Universities; Northamptonshire; Warwickshire; Leicestershire, 25, 42, 3877, 128, 2282, 55, 41.49, 0, 0, 0, 0, 4/57, 6/88
BA Hutton, Nottinghamshire; Northamptonshire, 13, 23, 2286, 88, 1204, 55, 21.89, 0, 0, 4, 0, 8/57, 9/65
JK Lever, Essex; Natal; The Rest; England XI; England; Marylebone Cricket Club; England Under-25s; DH Robins' XI; Young England; International XI; Cricket Association of Bengal Overseas XI; South African Breweries English XI, 21, 39, 3266, 113, 1529, 55, 27.8, 0, 0, 2, 0, 5/58, 7/100
FJ Titmus, International Cavaliers; International XI; DH Robins' XI; England XI; Surrey; South; Middlesex; Marylebone Cricket Club; Players; England; Orange Free State; Marylebone Cricket Club Australian Touring Team; TN Pearce's XI; India Prime Minister's XI; Combined Services, 14, 23, 3680, 244, 1134, 55, 20.61, 0, 0, 4, 1, 7/27, 11/73
AW Wellard, England XI; England; Somerset; The Rest; South; Players; Lord Tennyson's XI; HDG Leveson-Gower's XI, 7, 13, 2151, 77, 839, 54, 15.53, 0, 0, 6, 2, 7/91, 12/132
N Boje, Eagles; Warriors; South Africa Academy; Free State; Griqualand West and North West Combined XI; South Africa A; Free State; South African Students; South Africa Under-24s; Orange Free State B; Nottinghamshire; South Africa; Northamptonshire; Orange Free State; South Africans, 22, 39, 3551, 123, 1929, 53, 36.39, 0, 0, 0, 0, 4/26, 7/119
