Name, Team, Matches, Innings, Ground, Country, Dismissals, Caught, Stumped, Caught by Keeper, Caught by Fielder, Best Dismissals, Best Caught Fielder, Best Caught Keeper, Best Stumpings
S Starkie, Northamptonshire, 0, 8, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
WS Surridge, Minor Counties; TN Pearce's XI; Over 32; Surrey XI; Surrey; South; Marylebone Cricket Club; Gentlemen, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
RM Taylor, Essex, 0, 2, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
JE Timms, Northamptonshire; North; The Rest, 0, 14, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
FH Tyson, Commonwealth XI; TN Pearce's XI; Northamptonshire; Marylebone Cricket Club; Players; England XI; North; England; The Rest; EW Swanton's XI, 0, 14, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
TH Wade, Essex; Middlesex and Essex; Marylebone Cricket Club, 0, 2, , , 2, 2, 0, 2, 0, 2, 0, 2, 0
C Washbrook, Royal Air Force; HDG Leveson-Gower's XI; Players; Lancashire; England XI; North; Marylebone Cricket Club; England; The Rest, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
PJ Watts, Marylebone Cricket Club; Northamptonshire, 0, 7, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
RT Webb, Marylebone Cricket Club; Sussex, 0, 2, , , 2, 2, 0, 2, 0, 1, 0, 1, 0
AFT White, Warwickshire; Free Foresters; Worcestershire; Cambridge University, 0, 4, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
RC Wilson, Marylebone Cricket Club; Kent; AER Gilligan's XI, 0, 4, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
CN Woolley, Northamptonshire; North; Players; Gloucestershire, 0, 2, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
